what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1324703839887
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324703853849
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324703859824
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1324703877499
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1324703878232
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324703880244
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324703882210
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1324703885470
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324703891913
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324703894066
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1324703897483
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1324703900401
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1324703902631
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1324703903302
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1324703906235
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324703906641
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324703932209
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1324703935438
started,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1324703946873
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1324703946951
started,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1324703946951
