what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324816392209
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324816392850
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324816458612
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324816471283
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324816471766
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324816475450
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324816508453
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324816509256
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324816561412
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324816563814
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324816570324
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324816573528
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324816574001
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324816575682
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324816580213
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324816580640
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324816582084
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324816582101
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324816612630
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1324816614845
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1324816618286
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324816619536
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324816623368
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1324816623378
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324816623759
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324816651881
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1324816651929
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324816673751
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324817081544
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1324817084852
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1324817088879
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324817089317
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324817090061
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324817090468
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324817115899
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324817138116
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324817145944
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324817148516
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324817174508
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324817175251
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324817178509
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavadocView",1324817184937
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1324817186393
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1324817186394
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324817186883
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324817202205
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1324817213446
executed,command,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors.lineNumberToggle",1324817217286
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1324817220686
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324817221076
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324817241679
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1324817248512
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324817248948
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324817252898
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1324817256001
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324817256340
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324817280356
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1324817283996
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324817284300
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324817337586
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324817345352
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324817351152
